	country	year_1960	year_1961	year_1962	year_1963	year_1964	year_1965	year_1966	year_1967	year_1968	year_1969	year_1970	year_1971	year_1972	year_1973	year_1974	year_1975	year_1976	year_1977	year_1978	year_1979	year_1980	year_1981	year_1982	year_1983	year_1984	year_1985	year_1986	year_1987	year_1988	year_1989	year_1990	year_1991	year_1992	year_1993	year_1994	year_1995	year_1996	year_1997	year_1998	year_1999	year_2000	year_2001	year_2002	year_2003	year_2004	year_2005	year_2006	year_2007	year_2008	year_2009	year_2010	year_2011	year_2012	year_2013	year_2014	year_2015	year_2016	year_2017	year_2018	year_2019	year_2020
31	Burkina Faso	4829289.0	4894580.0	4960328.0	5027811.0	5098891.0	5174874.0	5256360.0	5343025.0	5434046.0	5528172.0	5624592.0	5723378.0	5825174.0	5930493.0	6040045.0	6154554.0	6274032.0	6398933.0	6530820.0	6671656.0	6822837.0	6985166.0	7158259.0	7340910.0	7531239.0	7727908.0	7930689.0	8140080.0	8356313.0	8579818.0	8811033	9050086	9297110.0	9552473.0	9816584.0	10089880	10372734	10665552	10968722	11282696	11607951	11944589	12293097	12654624	13030576	13421935	13829173	14252029	14689725	15141098	15605211	16081915	16571252.0	17072791.0	17586029.0	18110616.0	18646350.0	19193236.0	19751466.0	20321383.0	20903278.0
32	Burundi	2797925.0	2852438.0	2907320.0	2964416.0	3026292.0	3094378.0	3170496.0	3253215.0	3336930.0	3413909.0	3479070.0	3530000.0	3569655.0	3605120.0	3646428.0	3700879.0	3770870.0	3854446.0	3949264.0	4051239.0	4157296.0	4266520.0	4379727.0	4497544.0	4621096.0	4750832.0	4886745.0	5027143.0	5168703.0	5307069.0	5438959	5564923	5685569.0	5798054.0	5898964.0	5987044	6060110	6122130	6185564	6267132	6378871	6525546	6704118	6909161	7131688	7364857	7607850	7862226	8126104	8397661	8675606	8958406	9245992.0	9540302.0	9844301.0	10160034.0	10488002.0	10827010.0	11175379.0	11530577.0	11890781.0
33	Cabo Verde	201770.0	205321.0	210141.0	216087.0	222949.0	230421.0	238655.0	247522.0	256169.0	263461.0	268633.0	271315.0	271841.0	271068.0	270228.0	270240.0	271345.0	273335.0	276182.0	279729.0	283848.0	288678.0	294244.0	300226.0	306140.0	311668.0	316613.0	321137.0	325744.0	331180.0	337953	346229	355763.0	366057.0	376409.0	386288	395533	404248	412513	420456	428178	435701	442955	449925	456619	463034	469171	475067	480846	486667	492644	498858	505241.0	511740.0	518276.0	524740.0	531140.0	537499.0	543764.0	549936.0	555988.0
34	Cambodia	5722372.0	5872968.0	6028434.0	6183586.0	6331443.0	6467191.0	6585034.0	6685961.0	6779778.0	6880623.0	6996576.0	7139640.0	7302114.0	7449233.0	7533332.0	7524457.0	7404687.0	7196042.0	6957267.0	6770393.0	6693759.0	6749849.0	6919803.0	7170004.0	7447844.0	7714894.0	7960952.0	8198082.0	8435909.0	8691331.0	8975597	9289298	9623899.0	9970727.0	10317901.0	10656145	10982919	11298594	11600510	11886464	12155241	12405411	12637719	12856171	13066475	13273355	13477705	13679953	13883835	14093605	14312205	14541421	14780454.0	15026330.0	15274506.0	15521435.0	15766290.0	16009413.0	16249795.0	16486542.0	16718971.0
35	Cameroon	5176920.0	5285015.0	5398730.0	5518104.0	5643039.0	5773538.0	5909874.0	6052419.0	6201410.0	6357096.0	6519754.0	6689659.0	6867170.0	7052847.0	7247284.0	7451057.0	7664398.0	7887571.0	8121081.0	8365560.0	8621409.0	8888534.0	9166813.0	9456496.0	9757849.0	10070806.0	10395481.0	10731058.0	11075423.0	11425807.0	11780086	12137912	12499499.0	12864091.0	13230978.0	13599984	13970812	14344444	14723772	15112598	15513944	15928910	16357605	16800869	17259322	17733408	18223677	18730283	19252674	19789922	20341236	20906392	21485267.0	22077300.0	22681853.0	23298376.0	23926549.0	24566070.0	25216261.0	25876387.0	26545864.0
36	Canada	17909009.0	18271000.0	18614000.0	18964000.0	19325000.0	19678000.0	20048000.0	20412000.0	20744000.0	21028000.0	21324000.0	21962032.0	22218463.0	22491777.0	22807969.0	23143275.0	23449808.0	23725843.0	23963203.0	24201544.0	24515667.0	24819915.0	25116942.0	25366451.0	25607053.0	25842116.0	26100278.0	26446601.0	26791747.0	27276781.0	27691138	28037420	28371264.0	28684764.0	29000663.0	29302311	29610218	29905948	30155173	30401286	30685730	31020902	31360079	31644028	31940655	32243753	32571174	32889025	33247118	33628895	34004889	34339328	34714222.0	35082954.0	35437435.0	35702908.0	36109487.0	36545295.0	37065178.0	37593384.0	38005238.0
37	Cayman Islands	7870.0	8024.0	8141.0	8219.0	8299.0	8370.0	8444.0	8518.0	8638.0	8833.0	9143.0	9588.0	10135.0	10778.0	11488.0	12234.0	13023.0	13848.0	14681.0	15485.0	16207.0	16857.0	17436.0	18005.0	18662.0	19460.0	20426.0	21539.0	22775.0	24028.0	25307	26540	27784.0	29068.0	30521.0	32161	34065	36155	38330	40423	42305	43934	45347	46624	47899	49261	50729	52280	53835	55321	56672	57877	58963.0	59933.0	60848.0	61721.0	62564.0	63382.0	64172.0	64948.0	65720.0
38	Central African Republic	1501668.0	1526057.0	1551908.0	1579375.0	1608618.0	1639706.0	1673019.0	1708306.0	1744198.0	1778870.0	1811157.0	1840517.0	1867786.0	1894850.0	1924386.0	1958367.0	1997017.0	2039914.0	2087662.0	2140778.0	2199359.0	2264441.0	2335339.0	2408322.0	2478382.0	2542170.0	2597765.0	2646836.0	2693974.0	2745735.0	2806740	2878507	2959236.0	3046148.0	3135017.0	3222662	3308235	3392432	3475485	3558019	3640421	3722016	3802129	3881185	3959883	4038380	4118075	4198004	4273368	4337623	4386765	4418639	4436411.0	4447945.0	4464171.0	4493171.0	4537683.0	4596023.0	4666375.0	4745179.0	4829764.0
39	Chad	3001604.0	3060365.0	3121226.0	3183576.0	3246527.0	3309583.0	3372182.0	3434817.0	3499370.0	3568402.0	3643608.0	3726189.0	3815253.0	3907891.0	3999918.0	4088568.0	4173131.0	4255242.0	4337292.0	4422743.0	4514427.0	4612858.0	4718157.0	4832316.0	4957561.0	5095400.0	5247281.0	5412844.0	5589624.0	5773930.0	5963250	6157085	6356741.0	6563925.0	6781057.0	7010159	7250974	7503494	7770053	8053532	8355654	8678049	9019226	9373913	9734761	10096630	10457122	10818031	11183589	11560142	11952134	12360986	12784748.0	13220433.0	13663562.0	14110971.0	14561658.0	15016761.0	15477727.0	15946882.0	16425859.0
40	Chile	8132988.0	8303804.0	8476895.0	8650390.0	8821855.0	8989607.0	9152848.0	9312091.0	9468851.0	9625304.0	9783134.0	9942716.0	10103675.0	10265827.0	10428803.0	10592310.0	10756876.0	10922777.0	11089165.0	11254877.0	11419350.0	11582020.0	11743909.0	11907955.0	12078137.0	12257238.0	12445833.0	12642917.0	12847712.0	13058758.0	13274617	13495255	13719818.0	13944934.0	14166346.0	14380864	14587367	14786227	14977736	15162801	15342350	15516112	15684413	15849649	16014972	16182713	16354507	16530201	16708255	16886184	17062531	17233584	17400359.0	17571511.0	17758969.0	17969356.0	18209072.0	18470435.0	18729166.0	18952035.0	19116209.0
