id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|productos_descripcion|productos_cantidad_presentacion|productos_unidad_medida_presentacion|productos_marca|productos_precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
3|1|1389|0522111111111|1|SPEED UNLIMITED LATA X 250CC|1.00|unidad| |2310.00|2310.00|1|unidad||||
3|1|1389|7790895002755|1|SPRITE LATAS X 310 CC|310.00|cm3| |60.00|193.55|1|l||||
3|1|1389|7797453972482|1|STARBURST CARAMELO MASTICABLE SURTIDO PAQ.X 58.7G|1.00|unidad| |2490.00|2490.00|1|unidad||||
3|1|1389|7891000107836|1|SUFLAIR CHOCOLATE C/LECHE X 50G|50.00|gr| |180.00|3600.00|1|kg||||
3|1|1389|7790580060206|1|SUGUS CARAMELO MASTICABLE SUELTO X 3.3 GR|1.00|unidad| |35.00|35.00|1|unidad||||
3|1|1389|7790580056001|1|SUGUS CONFITADOS CONFITES DE CARAMELO SURT.X 50 G|1.00|unidad| |1590.00|1590.00|1|unidad||||
3|1|1389|7891000107669|1|TABLETA CLASSIC 25G|25.00|gr| |70.00|2800.00|1|kg||||
3|1|1389|7790387000849|1|TARAGUI MATE COCIDO X 25 UNID S ENS|1.00|unidad| |135.00|135.00|1|unidad||||
3|1|1389|0029601111111|1|TARAGUI MATE LISTO X 35 GR.|1.00|unidad| |1780.00|1780.00|1|unidad||||
3|1|1389|0029621111111|1|TARAGUI TERMO MATE-LISTO CAPACIDAD 500 CC.|1.00|unidad| |2850.00|2850.00|1|unidad||||
3|1|1389|7790387013627|1|TARAGUI YERBA 4FLEX X 500 GR.|1.00|unidad| |4485.00|4485.00|1|unidad||||
3|1|1389|7798162980430|1|TARTA INTEGRAL BROCOLI Y MOZZ. 300 GR X UN|1.00|unidad| |9020.00|9020.00|1|unidad||||
3|1|1389|7798162980447|1|TARTA INTEGRAL CALABAZA Y MOZZ. 300 GR X UN|1.00|unidad| |9020.00|9020.00|1|unidad||||
3|1|1389|7798162980232|1|TARTA INTEGRAL JAMÓN Y QUESO 300 GR X UN|1.00|unidad| |9020.00|9020.00|1|unidad||||
3|1|1389|7798162980249|1|TARTA POLLO Y PUERRO 300 GR X UN|1.00|unidad| |9020.00|9020.00|1|unidad||||
3|1|1389|0000000023275|0|TARTELETA DE LIMON X  UN|1.00|unidad| |320.00|320.00|1|unidad||||
3|1|1389|7798003741381|1|TE HEREDIA JENGIBRE|1.00|unidad| |305.00|305.00|1|unidad||||
3|1|1389|7798003740698|1|TE HEREDIA SURTIDO BIENESTAR|1.00|unidad| |290.00|290.00|1|unidad||||
3|1|1389|7798003740568|1|TE HEREDIA SURTIDO CLASICO|1.00|unidad| |310.00|310.00|1|unidad||||
3|1|1389|0000077939234|1|TERRABUSI ALFAJOR CHOCOLATE X 50 GR|1.00|unidad| |1230.00|1230.00|1|unidad||||
3|1|1389|7622300202859|1|TERRABUSI ALFAJOR GLASEADO X 50 GR|50.00|gr| |105.00|2100.00|1|kg||||
3|1|1389|0000077903792|1|TERRABUSI ALFAJOR TRIPLE CHOCOLATE X 70G.|1.00|unidad| |1790.00|1790.00|1|unidad||||
3|1|1389|0000077903860|1|TERRABUSI ALFAJOR TRIPLE TIPO TORTA CHOCOLAT.X 70G|1.00|unidad| |1790.00|1790.00|1|unidad||||
3|1|1389|7622300335052|1|TERRABUSI SNACKY X 60GR|1.00|unidad| |2360.00|2360.00|1|unidad||||
